"","status","family","pval","qval","genes","num_cells_expressed"
"Fbxo22","OK","negbinomial.size",0.593319870239411,0.842133361391145,"Fbxo22",116
"Fbxo25","OK","negbinomial.size",0.723828210681802,0.914748813709041,"Fbxo25",71
"Fbxo27","OK","negbinomial.size",0.0133428207690233,0.0647005997049219,"Fbxo27",27
"Fbxo28","OK","negbinomial.size",0.0904808065514547,0.27153536907102,"Fbxo28",63
"Fbxo3","OK","negbinomial.size",0.138305258146344,0.360702124795204,"Fbxo3",143
"Fbxo30","OK","negbinomial.size",0.438160378856993,0.726316534807391,"Fbxo30",104
"Fbxo31","OK","negbinomial.size",0.87135164224531,0.978935010240205,"Fbxo31",23
"Fbxo32","OK","negbinomial.size",0.93861534499067,0.999586553846688,"Fbxo32",10
"Fbxo33","OK","negbinomial.size",0.646670678728562,0.875268420154604,"Fbxo33",91
"Fbxo34","OK","negbinomial.size",0.0989264983417031,0.288985286064854,"Fbxo34",64
"Fbxo36","OK","negbinomial.size",0.292106086901153,0.574580206849313,"Fbxo36",34
"Fbxo38","OK","negbinomial.size",0.176199885453069,0.420854037603464,"Fbxo38",119
"Fbxo4","OK","negbinomial.size",0.981128616749005,0.999998135217801,"Fbxo4",27
"Fbxo42","OK","negbinomial.size",0.409915988870888,0.700239249488828,"Fbxo42",75
"Fbxo45","OK","negbinomial.size",0.00992455838856759,0.0511947468245888,"Fbxo45",49
"Fbxo46","OK","negbinomial.size",0.98506562561879,0.999998135217801,"Fbxo46",144
"Fbxo5","OK","negbinomial.size",1.58934670247282e-07,2.70121689207298e-06,"Fbxo5",96
"Fbxo6","OK","negbinomial.size",0.483020189763489,0.762830050674972,"Fbxo6",29
"Fbxo7","OK","negbinomial.size",0.145118857115129,0.371506740649523,"Fbxo7",59
"Fbxo8","OK","negbinomial.size",0.537387088631707,0.801226728286571,"Fbxo8",57
"Fbxo9","OK","negbinomial.size",0.352756761122083,0.641351937334847,"Fbxo9",85
"Fbxw11","OK","negbinomial.size",0.803485827453414,0.955869702913776,"Fbxw11",159
"Fbxw17","OK","negbinomial.size",0.0524497368323097,0.184585084354361,"Fbxw17",123
"Fbxw2","OK","negbinomial.size",0.322115359849964,0.608956712612499,"Fbxw2",65
"Fbxw4","OK","negbinomial.size",0.920655448660316,0.994109561370975,"Fbxw4",27
"Fbxw5","OK","negbinomial.size",0.602357096372163,0.847449271603568,"Fbxw5",123
"Fbxw7","OK","negbinomial.size",0.710421160508401,0.907475093561823,"Fbxw7",120
"Fbxw8","OK","negbinomial.size",0.253740572270891,0.526895380986426,"Fbxw8",98
"Fbxw9","OK","negbinomial.size",0.176704114486385,0.421807563304466,"Fbxw9",68
"Fcf1","OK","negbinomial.size",0.591800169018999,0.841438588398694,"Fcf1",197
"Fcgrt","OK","negbinomial.size",9.88452212787073e-06,0.000125641868819454,"Fcgrt",61
"Fcho2","OK","negbinomial.size",0.0396318899164722,0.150413944407399,"Fcho2",163
"Fchsd1","OK","negbinomial.size",0.787232029897403,0.947394517038067,"Fchsd1",13
"Fchsd2","OK","negbinomial.size",0.0216537962936299,0.0945734850809136,"Fchsd2",117
"Fdft1","OK","negbinomial.size",0.0382368410065539,0.146503635653092,"Fdft1",165
"Fdps","OK","negbinomial.size",0.0154973772179842,0.0729466388580899,"Fdps",140
"Fdx1","OK","negbinomial.size",0.975528130897027,0.999998135217801,"Fdx1",82
"Fdx1l","OK","negbinomial.size",0.761447635818972,0.933982493039354,"Fdx1l",77
"Fdxacb1","OK","negbinomial.size",0.885542166045324,0.981852320529125,"Fdxacb1",37
"Fdxr","OK","negbinomial.size",9.31322542922655e-10,2.1961715542501e-08,"Fdxr",96
"Fech","OK","negbinomial.size",0.0772662301129919,0.243638765816018,"Fech",78
"Fem1a","OK","negbinomial.size",0.355974254669789,0.644745192961213,"Fem1a",55
"Fem1b","OK","negbinomial.size",0.0146266175963298,0.0697194390964297,"Fem1b",122
"Fem1c","OK","negbinomial.size",0.332021858970566,0.619231431949115,"Fem1c",130
"Fen1","OK","negbinomial.size",0.000363632507115635,0.00310104155041996,"Fen1",108
"Fer","OK","negbinomial.size",0.0124476049856876,0.0611969155763097,"Fer",93
"Fer1l4","OK","negbinomial.size",0.599152752751537,0.845800750202269,"Fer1l4",15
"Fermt2","OK","negbinomial.size",0.854565520049426,0.97348613045251,"Fermt2",187
"Fermt3","OK","negbinomial.size",0.999543850741986,0.999998135217801,"Fermt3",11
"Fez1","OK","negbinomial.size",0.323034882121953,0.609833985519276,"Fez1",26
"Fez2","OK","negbinomial.size",0.057871712337356,0.198280959245135,"Fez2",70
"Fgd1","OK","negbinomial.size",0.402906608878844,0.695210635857921,"Fgd1",82
"Fgd4","OK","negbinomial.size",0.586938565946055,0.838207370769239,"Fgd4",124
"Fgd5","OK","negbinomial.size",0.128569605635555,0.343669864221037,"Fgd5",13
"Fgd6","OK","negbinomial.size",0.577431773949091,0.831606654247226,"Fgd6",30
"Fgf10","OK","negbinomial.size",2.20692064212647e-09,4.93383928341819e-08,"Fgf10",35
"Fgf11","OK","negbinomial.size",0.304611677051583,0.589839419648333,"Fgf11",28
"Fgf13","OK","negbinomial.size",0.000425295838947892,0.00356117267875113,"Fgf13",33
"Fgf18","OK","negbinomial.size",0.639588245467853,0.87085179185171,"Fgf18",32
"Fgf2","OK","negbinomial.size",0.753469697428165,0.929114802907224,"Fgf2",12
