"","x"
"E11.5_XY_20150107_C52_150331_3","C2"
"E11.5_XY_20150107_C53_150331_3","C4"
"E11.5_XY_20150107_C54_150331_1","C2"
"E11.5_XY_20150107_C58_150331_5","C2"
"E11.5_XY_20150107_C64_150331_5","C2"
"E11.5_XY_20150107_C65_150331_5","C4"
"E11.5_XY_20150107_C66_150331_3","C2"
"E11.5_XY_20150107_C67_150331_3","C2"
"E11.5_XY_20150107_C68_150331_7","C4"
"E11.5_XY_20150107_C69_150331_7","C2"
"E11.5_XY_20150107_C71_150331_8","C4"
"E11.5_XY_20150107_C72_150331_5","C2"
"E11.5_XY_20150107_C73_150331_2","C2"
"E11.5_XY_20150107_C75_150331_1","C2"
"E11.5_XY_20150107_C76_150331_4","C2"
"E11.5_XY_20150107_C77_150331_8","C4"
"E11.5_XY_20150107_C78_150331_8","C2"
"E11.5_XY_20150107_C79_150331_4","C4"
"E11.5_XY_20150107_C80_150331_4","C2"
"E11.5_XY_20150107_C84_150331_2","C1"
"E11.5_XY_20150107_C86_150331_7","C2"
"E11.5_XY_20150107_C87_150331_6","C4"
"E11.5_XY_20150107_C90_150331_5","C2"
"E11.5_XY_20150107_C93_150331_7","C2"
"E11.5_XY_20150107_C96_150331_8","C2"
"E12.5_XY_20140526_C01_150331_1","C2"
"E12.5_XY_20140526_C08_150331_1","C4"
"E12.5_XY_20140526_C22_150331_4","C2"
"E12.5_XY_20140526_C28_150331_6","C2"
"E12.5_XY_20140526_C32_150331_8","C2"
"E12.5_XY_20140526_C35_150331_1","C2"
"E12.5_XY_20140526_C38_150331_1","C2"
"E12.5_XY_20140526_C40_150331_3","C2"
"E12.5_XY_20140526_C42_150331_3","C4"
"E12.5_XY_20140526_C43_150331_5","C3"
"E12.5_XY_20140526_C45_150331_5","C2"
"E12.5_XY_20140526_C47_150331_8","C2"
"E12.5_XY_20140526_C48_150331_7","C2"
"E12.5_XY_20140526_C58_150331_1","C4"
"E12.5_XY_20140526_C62_150331_2","C2"
"E12.5_XY_20140526_C68_150331_2","C2"
"E12.5_XY_20140526_C69_150331_3","C2"
"E12.5_XY_20140526_C70_150331_4","C6"
"E12.5_XY_20140526_C71_150331_4","C2"
"E12.5_XY_20140526_C72_150331_4","C2"
"E12.5_XY_20140526_C74_150331_6","C2"
"E12.5_XY_20140526_C75_150331_6","C2"
"E12.5_XY_20140526_C76_150331_6","C2"
"E12.5_XY_20140526_C80_150331_8","C6"
"E12.5_XY_20140526_C85_150331_3","C2"
"E12.5_XY_20140526_C89_150331_5","C5"
"E12.5_XY_20140526_C90_150331_3","C2"
"E12.5_XY_20140526_C91_150331_8","C4"
"E12.5_XY_20140526_C93_150331_6","C3"
"E12.5_XY_20140526_C95_150331_7","C2"
"E12.5_XY_20141210_C10_150331_1","C2"
"E12.5_XY_20141210_C13_150331_4","C2"
"E12.5_XY_20141210_C17_150331_5","C2"
"E12.5_XY_20141210_C26_150331_7","C3"
"E12.5_XY_20141210_C30_150331_7","C2"
"E12.5_XY_20141210_C31_150331_5","C3"
"E12.5_XY_20141210_C35_150331_1","C2"
"E12.5_XY_20141210_C36_150331_2","C2"
"E12.5_XY_20141210_C37_150331_3","C3"
"E12.5_XY_20141210_C39_150331_4","C2"
"E12.5_XY_20141210_C40_150331_4","C3"
"E12.5_XY_20141210_C41_150331_6","C3"
"E12.5_XY_20141210_C42_150331_6","C3"
"E12.5_XY_20141210_C44_150331_7","C6"
"E12.5_XY_20141210_C45_150331_7","C3"
"E12.5_XY_20141210_C46_150331_8","C3"
"E12.5_XY_20141210_C47_150331_8","C3"
"E12.5_XY_20141210_C49_150331_2","C3"
"E12.5_XY_20141210_C50_150331_2","C2"
"E12.5_XY_20141210_C56_150331_3","C3"
"E12.5_XY_20141210_C59_150331_1","C2"
"E12.5_XY_20141210_C61_150331_5","C3"
"E12.5_XY_20141210_C63_150331_5","C3"
"E12.5_XY_20141210_C64_150331_3","C6"
"E12.5_XY_20141210_C65_150331_3","C6"
"E12.5_XY_20141210_C69_150331_7","C3"
"E12.5_XY_20141210_C70_150331_7","C3"
"E12.5_XY_20141210_C72_150331_7","C3"
"E12.5_XY_20141210_C79_150331_1","C3"
"E12.5_XY_20141210_C81_150331_1","C3"
"E12.5_XY_20141210_C82_150331_8","C3"
"E12.5_XY_20141210_C84_150331_2","C3"
"E12.5_XY_20141210_C85_150331_4","C3"
"E12.5_XY_20141210_C87_150331_4","C2"
"E12.5_XY_20141210_C89_150331_6","C3"
"E12.5_XY_20141210_C90_150331_6","C3"
"E12.5_XY_20141210_C91_150331_8","C6"
"E12.5_XY_20141210_C92_150331_8","C6"
"E13.5_XY_20130918_C02_140729_1","C3"
"E13.5_XY_20130918_C03_140729_1","C3"
"E13.5_XY_20130918_C04_140729_2","C3"
"E13.5_XY_20130918_C06_140729_1","C6"
"E13.5_XY_20130918_C08_140729_3","C3"
"E13.5_XY_20130918_C10_140729_4","C6"
"E13.5_XY_20130918_C11_140729_4","C3"
"E13.5_XY_20130918_C12_140729_3","C6"
"E13.5_XY_20130918_C15_140729_5","C6"
"E13.5_XY_20130918_C16_140729_6","C6"
"E13.5_XY_20130918_C17_140729_6","C3"
"E13.5_XY_20130918_C18_140729_6","C6"
"E13.5_XY_20130918_C20_140729_7","C6"
"E13.5_XY_20130918_C21_140729_7","C3"
"E13.5_XY_20130918_C22_140729_8","C3"
"E13.5_XY_20130918_C23_140729_8","C6"
"E13.5_XY_20130918_C24_140729_8","C1"
"E13.5_XY_20130918_C25_140729_1","C2"
"E13.5_XY_20130918_C26_140729_1","C3"
