"","status","family","pval","qval","genes","num_cells_expressed"
"Aff3","OK","negbinomial.size",5.68920846129823e-06,6.03467595575217e-05,"Aff3",211
"Mgarp","OK","negbinomial.size",0.000301719689338041,0.00225594947987013,"Mgarp",32
"Grhl3","OK","negbinomial.size",0.00361280513137562,0.0195724649127617,"Grhl3",19
"Pacrg","OK","negbinomial.size",6.97212424861933e-06,7.26114211590313e-05,"Pacrg",19
"Islr","OK","negbinomial.size",0.0100785117639487,0.0453964965596145,"Islr",67
"Spry1","OK","negbinomial.size",4.64632319312564e-16,1.55849542850268e-14,"Spry1",67
"Clic4","OK","negbinomial.size",3.48762428770974e-11,7.39259117925971e-10,"Clic4",224
"Hgsnat","OK","negbinomial.size",0.00539042012177288,0.0274350196028247,"Hgsnat",63
"Rsrp1","OK","negbinomial.size",0.00123898364665566,0.00780522565016044,"Rsrp1",401
"Tacc3","OK","negbinomial.size",1.81415509632417e-24,1.1793878389093e-22,"Tacc3",132
"Tap1","OK","negbinomial.size",5.19038442363383e-11,1.06440859107105e-09,"Tap1",23
"Slc9a7","OK","negbinomial.size",0.0107653150545661,0.0479760259604904,"Slc9a7",24
"Paqr7","OK","negbinomial.size",9.51918439952803e-08,1.31496115713962e-06,"Paqr7",37
"Actr1b","OK","negbinomial.size",0.00245850051661262,0.0141227649941695,"Actr1b",201
"Kdm6a","OK","negbinomial.size",0.000598344688284084,0.00413875794197814,"Kdm6a",322
"Rims2","OK","negbinomial.size",0.00385187390355877,0.0205759566589086,"Rims2",20
"Nmur2","OK","negbinomial.size",6.86499243979389e-06,7.16139657987432e-05,"Nmur2",10
"Best1","OK","negbinomial.size",1.24998445789915e-06,1.46377010055933e-05,"Best1",29
"Vnn1","OK","negbinomial.size",3.85860857490888e-09,6.48863617956677e-08,"Vnn1",117
"Fbxo27","OK","negbinomial.size",0.000559301967611728,0.00391015322368022,"Fbxo27",26
"Dtl","OK","negbinomial.size",3.22057642931415e-12,7.63494547490791e-11,"Dtl",220
"Cib2","OK","negbinomial.size",6.54541742044358e-08,9.27118993120642e-07,"Cib2",169
"Mavs","OK","negbinomial.size",0.00433948279734184,0.0227471143142458,"Mavs",120
"Atg14","OK","negbinomial.size",0.00072100123935021,0.00488885356488432,"Atg14",224
"Shank2","OK","negbinomial.size",0.0112894940219052,0.0498540261219428,"Shank2",36
"Dlgap5","OK","negbinomial.size",3.6332840675417e-14,1.03204906891522e-12,"Dlgap5",84
"Vash2","OK","negbinomial.size",0.00127416554716665,0.00801085537430999,"Vash2",107
"Wdhd1","OK","negbinomial.size",1.97352340524712e-08,2.98442172505716e-07,"Wdhd1",154
"Tob1","OK","negbinomial.size",0.00319688184693416,0.017606582468792,"Tob1",204
"Nr0b2","OK","negbinomial.size",5.24049955393929e-07,6.5116433866288e-06,"Nr0b2",13
"Nme1","OK","negbinomial.size",2.93715902631834e-09,4.99911601078636e-08,"Nme1",362
"Lphn3","OK","negbinomial.size",3.98699119737202e-14,1.12744244352592e-12,"Lphn3",267
"Osbpl5","OK","negbinomial.size",8.9836294691647e-09,1.41981873264543e-07,"Osbpl5",73
"Rgs22","OK","negbinomial.size",6.48793005379577e-06,6.80746870536375e-05,"Rgs22",38
"Slc25a43","OK","negbinomial.size",0.00657240343638411,0.0324046724549165,"Slc25a43",10
"Gpr160","OK","negbinomial.size",6.03874355730609e-07,7.4287521989504e-06,"Gpr160",16
"Cdkn1c","OK","negbinomial.size",3.41819420116098e-17,1.26053407207726e-15,"Cdkn1c",379
"Cd81","OK","negbinomial.size",3.95901318540948e-05,0.000359733964656948,"Cd81",411
"Fam13a","OK","negbinomial.size",6.62389693230003e-23,3.81463872649169e-21,"Fam13a",63
"Ckap2","OK","negbinomial.size",1.64433878921503e-10,3.20531697211437e-09,"Ckap2",115
"Xkr8","OK","negbinomial.size",0.00680174789649414,0.0333399317802503,"Xkr8",47
"Ppp1r16b","OK","negbinomial.size",1.88022797288117e-19,8.26252097351125e-18,"Ppp1r16b",62
"Smim14","OK","negbinomial.size",2.40316312063413e-06,2.70613332834265e-05,"Smim14",275
"Ppm1k","OK","negbinomial.size",4.5108762944304e-06,4.83357449663179e-05,"Ppm1k",227
"Iars","OK","negbinomial.size",0.000996389370519784,0.00645426951258116,"Iars",237
"Cpe","OK","negbinomial.size",8.90751360320546e-22,4.661475583553e-20,"Cpe",278
"Egr2","OK","negbinomial.size",4.99180190900949e-11,1.03207550289226e-09,"Egr2",141
"Pcdh18","OK","negbinomial.size",1.02500298193183e-13,2.76225162566758e-12,"Pcdh18",291
"H2afz","OK","negbinomial.size",6.76025292771822e-10,1.22676704927169e-08,"H2afz",405
"Ddx60","OK","negbinomial.size",1.00241371222581e-15,3.27524397372848e-14,"Ddx60",29
"Inpp4b","OK","negbinomial.size",0.000332394649410773,0.00245730440701564,"Inpp4b",11
"Igsf9","OK","negbinomial.size",0.000272038688192702,0.00206839214136349,"Igsf9",68
"Arap2","OK","negbinomial.size",0.00057541940308266,0.0040072829992703,"Arap2",47
"Ccdc138","OK","negbinomial.size",0.00251903723501375,0.0143886311630405,"Ccdc138",72
"Fam120a","OK","negbinomial.size",0.000148229243892703,0.00120610788643534,"Fam120a",361
"Dennd4c","OK","negbinomial.size",0.00178846916407313,0.0106819046242133,"Dennd4c",187
"Gcc2","OK","negbinomial.size",0.000165141112582477,0.00132322726295439,"Gcc2",331
"Ptpdc1","OK","negbinomial.size",0.00122976732940944,0.0077518079037125,"Ptpdc1",54
"Nod1","OK","negbinomial.size",0.000148810312478527,0.00120927555475463,"Nod1",28
"Smim3","OK","negbinomial.size",0.000160568573639206,0.00129151202215412,"Smim3",137
"Rnf144b","OK","negbinomial.size",0.00130158755923725,0.00815075585754726,"Rnf144b",88
"Cntln","OK","negbinomial.size",0.00246015146978923,0.0141227649941695,"Cntln",229
"Ccdc50","OK","negbinomial.size",0.00374188509736555,0.020150578500416,"Ccdc50",325
"Stox2","OK","negbinomial.size",3.820943810042e-06,4.15441362906616e-05,"Stox2",133
"Notch3","OK","negbinomial.size",0.0099309527552793,0.0449243816892333,"Notch3",108
"Ormdl3","OK","negbinomial.size",0.00636158629207767,0.0315626775435419,"Ormdl3",172
"Spon1","OK","negbinomial.size",0.000100400488434265,0.000849832859149628,"Spon1",53
"Leprel1","OK","negbinomial.size",8.26812030871889e-09,1.32164174060282e-07,"Leprel1",46
"Pde4dip","OK","negbinomial.size",0.00454328175180723,0.0236678519016079,"Pde4dip",114
"Tapbpl","OK","negbinomial.size",0.000288169805444127,0.00216849497986953,"Tapbpl",21
"Bend3","OK","negbinomial.size",0.00014727126279664,0.00119908661484263,"Bend3",75
"Hoxa9","OK","negbinomial.size",4.46214890207886e-06,4.78542703682131e-05,"Hoxa9",79
"Fam198a","OK","negbinomial.size",1.46236258563172e-36,1.98315235806314e-34,"Fam198a",14
"F11r","OK","negbinomial.size",1.0001592006191e-09,1.77662082228283e-08,"F11r",343
"Hoxa7","OK","negbinomial.size",8.90326254516551e-14,2.40961260127956e-12,"Hoxa7",122
"Mical2","OK","negbinomial.size",0.000680697353209097,0.00464553843001793,"Mical2",146
"Sobp","OK","negbinomial.size",2.24161388207366e-07,2.97279014518538e-06,"Sobp",81
