gene,profile
Sapcd2,P2
Satb2,P2
Sdc4,P2
Seh1l,P2
Sfrp2,P2
Sfxn1,P2
Sh3bgr,P2
Shd,P2
Shisa3,P2
Slc19a2,P2
Slc2a1,P2
Slc35d2,P2
Slc38a1,P2
Snip1,P2
Snx7,P2
Sox11,P2
Sox9,P2
Spast,P2
Srpk1,P2
Stac2,P2
Stip1,P2
Stk26,P2
Stmn2,P2
Sulf1,P2
Syne4,P2
Tfrc,P2
Them7,P2
Thoc3,P2
Thsd4,P2
Tmem135,P2
Tmem168,P2
Tmem68,P2
Tpd52,P2
Trap1,P2
Trappc12,P2
Trim6,P2
Trp53inp1,P2
Tshz1,P2
Tspan12,P2
Ttc25,P2
Ttc27,P2
Ttc4,P2
Tubb5,P2
Tubgcp2,P2
Txnrd1,P2
Uba2,P2
Unc5d,P2
Upf2,P2
Upk3b,P2
Usp10,P2
Usp3,P2
Utp6,P2
Vipas39,P2
Vopp1,P2
Wdr18,P2
Wfdc2,P2
Wipi2,P2
Wt1,P2
Xpo1,P2
Xpo7,P2
Xrcc3,P2
Xxylt1,P2
Ythdc1,P2
Ythdf3,P2
Zbtb11,P2
Zbtb2,P2
Zbtb7c,P2
Zdhhc2,P2
Zfp212,P2
Zfp260,P2
Zfp367,P2
Zfp788,P2
Zfp804a,P2
Zmynd19,P2
Zranb3,P2
Zyg11b,P2
Acsl4,P3
Actb,P3
Adh1,P3
Alkbh5,P3
Als2,P3
Amt,P3
Ankrd10,P3
Arvcf,P3
Aspscr1,P3
Atp6v0e2,P3
Bend4,P3
Bend7,P3
Bex1,P3
Bmp4,P3
Bmper,P3
Braf,P3
Cbx3,P3
Cct4,P3
Cdh10,P3
Cecr2,P3
Clcn3,P3
Clk1,P3
Cnn3,P3
Cox5a,P3
Crabp1,P3
Crabp2,P3
Crispld2,P3
Cux2,P3
Dcbld2,P3
Ddx55,P3
Dfna5,P3
Dnaja1,P3
Dpf3,P3
Dpysl2,P3
Dsp,P3
Dusp18,P3
Dyrk1a,P3
Ece1,P3
Ecm1,P3
Edil3,P3
Ehd3,P3
Eif1,P3
Eif4a1,P3
Elovl2,P3
Emb,P3
Eno3,P3
Epb4.1l5,P3
Epha4,P3
Epha7,P3
Fam135a,P3
Fhl1,P3
Fli1,P3
Flrt3,P3
Foxd2,P3
Foxp1,P3
Fzd1,P3
Galnt7,P3
Gata3,P3
Gata5,P3
Gatad1,P3
Gfra3,P3
Gm14226,P3
Gm21814,P3
Gnl3l,P3
Gpr45,P3
Gsk3b,P3
Gtf2a1,P3
H2afy,P3
H2afy2,P3
Hapln1,P3
Hdx,P3
Hmgn1,P3
Hnrnpl,P3
Hoxa7,P3
Hoxb7,P3
Hoxb9,P3
Hoxc8,P3
Hsf2,P3
Igdcc3,P3
Igf2bp3,P3
Igf2r,P3
Ilf3,P3
Impact,P3
Insig1,P3
Kcnab1,P3
Kdelr2,P3
Kdm6b,P3
Khsrp,P3
Kif5c,P3
Klf13,P3
Lgr4,P3
Lin28a,P3
Lin28b,P3
Lrp2,P3
Lrrc8a,P3
Lrrtm2,P3
Lyrm4,P3
Lyst,P3
Map1b,P3
Mcmbp,P3
Mcoln3,P3
Mdn1,P3
Mecom,P3
Mfsd1,P3
Micu3,P3
Mknk2,P3
Mlh1,P3
Mogat2,P3
Mttp,P3
Myef2,P3
Nbeal1,P3
Nefl,P3
Ngfrap1,P3
Nup210,P3
Oxtr,P3
Pax8,P3
Pcdh7,P3
Pdcd4,P3
Pdp2,P3
Peg10,P3
Pfas,P3
Pfkfb4,P3
Phactr2,P3
Phyh,P3
Plagl2,P3
Plch1,P3
Pnp,P3
Pnpla6,P3
Ppp2r5b,P3
Prkcsh,P3
Pycr2,P3
Rad23b,P3
Rasgrp3,P3
Rbm15,P3
Rgs5,P3
Ror1,P3
Rragd,P3
Sall1,P3
Sc5d,P3
Scg5,P3
Scube3,P3
Senp5,P3
Set,P3
Sgsm3,P3
Sirt6,P3
Skiv2l,P3
Slc16a1,P3
Slc24a5,P3
Slc39a1,P3
Slc51a,P3
Slc5a3,P3
Slc9a3r1,P3
Sod1,P3
St13,P3
Stra6,P3
Strbp,P3
Tagln3,P3
Tapt1,P3
Tbx18,P3
Tekt1,P3
Tes,P3
Tgm5,P3
Thap11,P3
Tiparp,P3
Tjp1,P3
Tle3,P3
Tmem192,P3
Tmem248,P3
Trabd2b,P3
Trim71,P3
Tspyl1,P3
Txnl4b,P3
Ube2h,P3
Usp22,P3
Vars,P3
Wbscr27,P3
Wdr36,P3
Wtap,P3
Yaf2,P3
Yme1l1,P3
Zbtb16,P3
Zcchc18,P3
Zfp41,P3
Zfp568,P3
Znrf3,P3
Zscan26,P3
A730017C20Rik,P4
Aagab,P4
Acox1,P4
Acsl1,P4
Adarb1,P4
Adcy1,P4
Afap1l1,P4
Alg10b,P4
Alg2,P4
Amigo3,P4
Angpt2,P4
Ankrd45,P4
Apbb1,P4
Arfgef2,P4
Arhgap36,P4
Atg12,P4
Atg14,P4
Atg16l2,P4
Bbx,P4
Bend5,P4
Bmf,P4
Bnc1,P4
Brpf1,P4
Cacna1e,P4
Car3,P4
Casd1,P4
Cav1,P4
Ccdc181,P4
Ccdc80,P4
Cd38,P4
Cdh18,P4
Cdh2,P4
Cdh8,P4
Cdkl3,P4
Cdkn1c,P4
Cgn,P4
Col9a1,P4
Corin,P4
Creb5,P4
Crebrf,P4
Cthrc1,P4
Ctns,P4
D430019H16Rik,P4
D5Ertd579e,P4
Dab1,P4
Dach2,P4
Dclk1,P4
Ddx25,P4
Dhtkd1,P4
Dnajb14,P4
Dst,P4
Efna1,P4
Egfl6,P4
Enpp4,P4
Epb4.1l4a,P4
Epc1,P4
Ephx2,P4
F11r,P4
Fam208b,P4
Fgfr3,P4
Flrt1,P4
Foxp2,P4
Frem2,P4
Fsd1,P4
Fuca2,P4
Gabra1,P4
Gata6,P4
Gdpd1,P4
Gm13225,P4
Gm28045,P4
Gng7,P4
Gpr82,P4
Gpr98,P4
Gramd3,P4
Grin2b,P4
Hecw2,P4
Herc2,P4
Hivep1,P4
Hivep2,P4
Hmox1,P4
Hoxa9,P4
Hsd17b4,P4
Ica1,P4
Id3,P4
Igf2,P4
Igf2bp1,P4
Ikbkg,P4
Il2rg,P4
Inadl,P4
Inpp5f,P4
Insrr,P4
Intu,P4
Isl1,P4
Kat6a,P4
Kbtbd7,P4
Kdr,P4
Khdrbs2,P4
Kif6,P4
Klf6,P4
Klhdc4,P4
Klhl24,P4
Kptn,P4
Krt7,P4
Larp1b,P4
Lmbrd1,P4
Lrig2,P4
Lrrc7,P4
Lrrc8c,P4
Luc7l,P4
Lypd6,P4
Man1a,P4
Map7d2,P4
Mars2,P4
Mau2,P4
Meis1,P4
Meis2,P4
Metrnl,P4
Mllt3,P4
Moxd1,P4
Msx1,P4
Mta3,P4
Mybpc1,P4
Myrf,P4
Nefm,P4
Nme7,P4
Nnat,P4
Nop2,P4
Npdc1,P4
Npnt,P4
Nr1h5,P4
Nr2f1,P4
Nrip1,P4
Nrp1,P4
Nsg2,P4
Ntn1,P4
Ntrk2,P4
Nubpl,P4
Ociad2,P4
Paip1,P4
Paqr8,P4
Parp16,P4
Pcmtd1,P4
Pdcl,P4
Pdgfc,P4
Pdzrn3,P4
Pik3c2a,P4
Pik3r1,P4
Pitx2,P4
Pkhd1l1,P4
Pkia,P4
Plag1,P4
Plk2,P4
Pnpo,P4
Pomgnt2,P4
Prkcz,P4
Prr14,P4
Prune2,P4
Psd2,P4
Psmd9,P4
Pum1,P4
Rab38,P4
Ranbp17,P4
Rhbdd2,P4
Rimklb,P4
Rlf,P4
Rspo3,P4
Runx1t1,P4
S100pbp,P4
Safb2,P4
Sat1,P4
Scd1,P4
Scrn1,P4
Sh3yl1,P4
Slc22a23,P4
Slc23a2,P4
Slc30a1,P4
Slc38a3,P4
Slc4a7,P4
Slc52a2,P4
Slc7a7,P4
Slco5a1,P4
Smad9,P4
Smarca4,P4
Smg6,P4
Snhg11,P4
Snx11,P4
Soat1,P4
Sphkap,P4
Spns1,P4
Spock3,P4
Stat1,P4
Stx2,P4
Stxbp2,P4
Sufu,P4
Syt14,P4
Tctn1,P4
Tctn3,P4
Tenm2,P4
Tgfb3,P4
Tgm2,P4
Thsd7a,P4
Tmem129,P4
Tmem25,P4
Tmtc2,P4
Tnc,P4
Trim33,P4
Tstd2,P4
Usp13,P4
Vamp5,P4
Vps16,P4
Wdr4,P4
Wnk3,P4
Yod1,P4
Zbtb40,P4
Zfp11,P4
Zfp180,P4
Zfp775,P4
Zfp820,P4
Zmynd8,P4
Zswim6,P4
AA987161,P5
Abat,P5
Abcb6,P5
Abcc5,P5
Abhd3,P5
Acadsb,P5
Adam12,P5
Ankrd6,P5
Arc,P5
Arrdc4,P5
Atg2b,P5
Atmin,P5
Atp9b,P5
Atr,P5
BC025920,P5
Bcar1,P5
Bcl11a,P5
Bhlhe40,P5
Blzf1,P5
Cables2,P5
Camk2n1,P5
Capn6,P5
Car2,P5
Casp9,P5
Ccdc89,P5
Cfap43,P5
Cited1,P5
Cluh,P5
Colec12,P5
Cpa1,P5
Cpne8,P5
Cpt2,P5
Csgalnact1,P5
Cst9,P5
Ctsc,P5
Cwc27,P5
D15Ertd621e,P5
Dact1,P5
Dcun1d3,P5
Dkk1,P5
Drp2,P5
Dsel,P5
Elac1,P5
Esam,P5
Fam184b,P5
Fancb,P5
Fbln2,P5
Fcho2,P5
Fer,P5
Fmnl3,P5
Foxred1,P5
Foxred2,P5
Fsd1l,P5
Fyco1,P5
Gabra4,P5
Galnt10,P5
Gltscr1l,P5
Gm28557,P5
Gm3604,P5
Gm8113,P5
Gm9930,P5
Golgb1,P5
Gpm6a,P5
Grin3a,P5
Heatr2,P5
Iqgap2,P5
Izumo4,P5
Jrkl,P5
Kif21a,P5
Klhl25,P5
Ldlrad3,P5
Loxl3,P5
Lpin1,P5
Ly6e,P5
Map2,P5
Mapkbp1,P5
Mb21d1,P5
Mef2a,P5
Mob4,P5
Mpv17l,P5
Mpzl2,P5
N4bp1,P5
Ndrg1,P5
Neil1,P5
Nell1,P5
Nfib,P5
Npc1,P5
Nr6a1,P5
Nudt4,P5
Nxt2,P5
Palld,P5
Pcdh20,P5
Pcmtd2,P5
Pcyt1a,P5
Pfkfb3,P5
Pik3cd,P5
Pja2,P5
Plagl1,P5
Pld1,P5
Ppp1r13b,P5
Pramef8,P5
Pwwp2a,P5
Qrsl1,P5
R3hcc1l,P5
Ranbp6,P5
Recql5,P5
Ren1,P5
Rgl1,P5
Rnf19a,P5
Rxrg,P5
Sema3a,P5
Serpina3g,P5
Sertad4,P5
Sh3bp5,P5
Sidt2,P5
Slc10a7,P5
Slc20a2,P5
Slc38a5,P5
Smad3,P5
Snap25,P5
Spon1,P5
Star,P5
Tanc2,P5
Tank,P5
Tesk2,P5
Tm7sf3,P5
Tmem176a,P5
Trim16,P5
Trim62,P5
Trim68,P5
Trmt2b,P5
Tspan15,P5
Tvp23b,P5
Txndc5,P5
Ubash3b,P5
Uhmk1,P5
Uhrf1bp1,P5
Unc5c,P5
Upk1b,P5
Uso1,P5
Vimp,P5
Vps11,P5
Wbp1l,P5
Wwtr1,P5
Zbtb46,P5
Zc3h10,P5
Zc3h12b,P5
